#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1202\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
300.8,303.17,24,176
303.9,305.6,24,177
305.8,308.07,8,178
310.27,310.57,8,179
311.73,312.4,15,180
312.8,312.83,8,181
314.73,316.2,24,183
316.57,317.33,17,184
317.43,318.7,25,185
318.83,321.87,22,186
321.97,322.47,25,187
323.07,323.47,25,189
324.03,324.33,22,190
324.43,326.73,25,191
327.97,328.6,25,192
330.1,330.43,8,193
331.87,334.37,22,194
334.9,335.23,17,195
335.83,336.23,17,196
336.97,337.7,15,197
337.77,338.53,8,198
338.63,339,22,199
339.03,340.57,3,200
341.07,341.33,24,202
342.43,344.37,25,204
345.73,346,17,205
346.6,347.1,25,206
347.33,347.37,17,207
347.63,348.03,22,208
348.1,348.57,23,209
350.2,350.97,22,210
352.67,354.07,24,212
354.77,355.13,22,213
356.7,357.07,17,214
357.13,357.53,11,215
357.93,359.7,15,216
360.17,361.03,17,217
361.83,362.83,17,218
363,363.23,20,219
363.37,364.27,25,220
364.87,365.13,20,221
365.63,365.97,15,222
367.17,369.03,25,223
371.77,374.67,9,224
374.73,375.07,18,225
376.97,377.27,17,227
377.43,377.7,18,228
377.93,380.6,2,229
380.73,381.37,17,230
382,382.3,8,231
383.07,384,17,232
384.57,385.03,2,233
385.47,386.9,9,234
387.67,388.57,9,235
388.73,389.37,2,236
389.97,390.37,9,237
390.53,392.6,2,238
392.67,393.43,15,239
393.47,393.7,22,240
393.77,395.53,5,241
395.6,395.87,13,242
397.87,398.23,9,244
398.4,399.27,2,245
399.43,400.97,5,246
405.3,406.03,3,248
407.3,409.13,2,249
409.9,410.8,2,250
411.23,411.97,14,251
412.23,412.53,9,252
412.83,413.17,2,253
413.97,415.23,14,254
415.43,416.4,2,255
416.43,416.73,9,256
417.07,422.03,2,257
422.57,424.1,9,258
427.07,427.4,9,259
427.47,429.17,14,260
431.73,434.2,14,261
434.7,436.27,13,262
436.33,438.57,8,263
438.7,439.1,25,264
439.37,441.97,20,265
442,446.97,14,266
447.3,447.97,5,267
448,448.43,3,268
448.77,449.57,13,269
451.5,451.93,8,270
455.17,455.5,14,271
457.6,457.87,14,273
460.4,461.03,25,274
461.4,461.77,14,275
462.13,462.63,2,276
462.77,463.03,9,277
463.17,463.6,25,278
463.77,464.27,14,279
464.3,464.63,8,280
464.77,465.63,2,281
466.3,466.9,16,282
467.07,467.37,25,283
467.47,467.87,16,284
469.13,473.77,25,285
474.13,475.8,16,286
475.93,476.37,25,287
476.43,478.8,16,288
478.83,482.43,25,289
483.3,483.77,25,290
483.8,484.07,16,291
484.1,489.67,25,292
490.1,492.83,16,293
493.37,497.77,16,294
499.37,499.8,22,295
500.6,508.7,8,296
510.67,521.1,8,297
524.73,524.97,15,300
525.97,526.77,15,301
526.93,528.13,1,302
528.3,530.87,15,303
531.73,532.9,15,304
533,534.03,1,305
534.57,535.47,1,306
535.57,535.93,4,307
535.97,536.33,13,308
536.43,536.67,7,309
536.77,539.53,1,310
541.13,541.43,15,312
541.57,541.8,1,313
541.97,542.23,15,314
542.37,543.77,1,315
543.83,544.1,10,316
544.17,545.17,1,317
546.3,546.97,1,318
548.33,548.73,1,320
548.9,549.2,20,321
549.27,549.73,1,322
550.67,551.3,1,323
551.93,552.23,1,324
552.67,552.93,4,325
554.03,554.67,15,326
555.93,559.23,15,328
559.27,563.27,1,329
563.27,567.3,15,330
567.47,567.7,25,331
567.8,568.53,1,332
568.63,569.7,15,333
570.67,571,25,334
571.1,571.33,1,335
574.2,574.5,15,336
575.37,575.63,5,337
576.2,576.43,20,338
577.6,577.93,10,339
