#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1202\cevent_eye_roi_parent.csv,,,,
#onset,offset,cat,index
30.167,30.733,18,1
30.8,31.167,24,2
31.2,44.6,20,3
50.9,53.667,20,4
53.733,56.933,25,5
58.233,58.567,20,6
58.767,59.733,18,7
59.8,60.567,20,8
60.833,61.1,10,9
62.333,62.833,18,11
64.133,64.433,23,13
64.767,67.633,6,14
67.733,70.533,10,15
70.8,71.133,6,16
71.2,71.9,23,17
71.967,73.133,6,18
73.533,75.333,10,19
76.933,77.267,10,21
78.433,78.967,6,23
80.567,81.733,10,24
82.167,82.6,2,25
83.067,83.3,10,26
83.967,86.1,18,27
86.133,86.533,10,28
86.6,87.1,15,29
87.633,88,6,30
88.067,88.633,10,31
89.4,89.8,2,32
89.967,91.033,10,33
91.367,92.567,6,34
92.667,93.1,24,35
93.167,93.867,10,36
94.933,95.233,10,37
95.3,95.8,25,38
97.233,98,2,40
98.067,98.333,23,41
98.4,98.7,6,42
98.733,99.7,23,43
100.13,100.6,2,44
100.67,101.03,7,45
101.13,101.5,23,46
101.6,102.03,15,47
102.47,102.77,9,48
103.8,104.2,5,49
104.33,106.4,23,50
107,108.43,23,51
108.53,108.9,15,52
108.93,109.17,13,53
109.2,109.7,7,54
109.77,110.47,2,55
110.57,116.77,15,56
116.8,117.17,11,57
117.23,117.5,15,58
118.7,119.1,15,59
121.1,121.6,25,61
122.83,129.4,15,62
129.5,130.17,25,63
130.3,130.63,15,64
130.73,131.43,25,65
132.63,134.27,25,67
134.83,135.5,25,68
136.43,136.7,25,70
136.8,138.6,15,71
139.73,140.37,15,72
142.47,142.7,24,73
142.73,143.2,2,74
143.23,143.7,24,75
144.47,145.4,2,76
146.97,147.67,13,77
147.77,148.83,10,78
149.07,150.17,13,79
151.2,151.5,15,80
151.63,152,13,81
152.5,153.5,3,82
153.57,153.87,18,83
154.2,155.27,13,84
156.43,168.53,20,87
171,171.23,20,88
171.53,171.8,6,89
174.17,177.73,20,90
180.8,183.67,15,92
183.7,184.17,23,93
184.5,184.77,15,94
184.83,185.1,2,95
185.17,185.63,10,96
185.77,186.7,18,97
186.8,187.47,23,98
187.57,188.87,18,99
188.9,189.63,14,100
189.7,189.93,13,101
190,190.8,15,102
191,191.3,18,103
191.33,191.57,2,104
192.17,192.8,19,105
192.87,193.9,11,106
194,196.27,2,107
198.07,200.67,14,108
203.23,203.47,14,109
204.33,205.2,14,110
206.6,207.13,15,111
207.27,207.53,14,112
207.9,208.2,7,113
208.27,209,16,114
211.07,220.07,18,115
220.7,221.3,15,116
221.4,222.8,18,117
223.8,227.1,18,118
227.2,228.43,10,119
228.53,228.77,17,120
228.8,230.17,22,121
230.33,231.83,24,122
231.97,234.97,15,123
236.33,236.57,7,125
236.7,237.23,19,126
238,238.33,17,128
238.47,238.77,11,129
243.13,247.23,21,131
247.93,249.67,21,132
253.97,255,25,134
255.07,255.9,21,135
255.97,257.37,25,136
257.43,258.13,21,137
258.43,259.83,15,138
259.9,260.43,2,139
260.47,260.7,7,140
260.77,261,16,141
261.1,261.57,22,142
261.9,262.23,17,143
262.27,262.73,22,144
262.77,263,11,145
263.07,263.8,22,146
263.97,264.3,19,147
264.97,266.17,15,149
269.87,270.23,22,150
270.47,270.77,17,151
271.4,271.73,18,152
271.83,272.57,13,153
272.73,273.77,9,154
274.67,275.03,21,155
275.27,275.53,18,156
275.6,276.73,10,157
276.8,280.9,8,158
281.43,282.03,8,159
282.4,282.9,2,160
283.43,283.77,24,161
283.87,284.27,22,162
284.67,286.7,17,163
287.3,287.73,24,164
288.27,290.23,17,165
290.3,290.67,22,166
291.43,292.13,15,167
292.47,292.7,3,168
292.97,293.97,17,169
294.47,294.8,21,171
294.97,295.37,13,172
296.1,296.63,17,173
298.53,299.23,17,174
299.43,300.73,8,175
